UserID, TextID, ReadingTime, AnswerTime, TrueOrFalse_1, TrueOrFalse_2, TrueOrFalse_3, TrueOrFalse_4, TrueOrFalse_5, NumberOfTouch, NumberOfRecall, NumberOfRecord, TextViewHeight, FontSize
24, 7, 152, 24, 1, 0, 1, 1, 1, 62, 4, 61, 1635.500000, 14.000000
24, 10, 133, 33, 0, 0, 0, 0, 1, 32, 2, 31, 961.500000, 11.000000
24, 9, 148, 55, 0, 1, 1, 1, 1, 69, 6, 69, 1976.500000, 17.000000
24, 6, 141, 23, 1, 0, 1, 0, 1, 84, 2, 84, 3040.000000, 21.000000
24, 8, 178, 30, 1, 1, 0, 1, 0, 129, 10, 129, 4412.000000, 26.000000
25, 4, 169, 27, 1, 1, 0, 0, 0, 29, 0, 29, 2832.500000, 21.000000
25, 2, 153, 17, 1, 1, 1, 1, 1, 11, 3, 11, 969.500000, 11.000000
25, 5, 189, 28, 1, 0, 1, 1, 1, 11, 1, 11, 1329.500000, 14.000000
25, 1, 194, 22, 1, 1, 1, 1, 1, 42, 2, 42, 4412.000000, 26.000000
25, 3, 204, 25, 1, 1, 0, 0, 1, 22, 2, 22, 1839.000000, 17.000000
26, 8, 105, 26, 1, 1, 1, 1, 0, 6, 1, 6, 957.500000, 11.000000
26, 10, 94, 26, 1, 0, 1, 1, 1, 20, 0, 19, 1931.000000, 17.000000
26, 9, 104, 17, 1, 1, 1, 1, 0, 58, 4, 58, 4528.500000, 26.000000
26, 6, 85, 20, 0, 1, 1, 0, 1, 40, 0, 40, 3040.000000, 21.000000
26, 7, 87, 16, 0, 1, 1, 1, 1, 30, 2, 30, 1635.500000, 14.000000
27, 2, 194, 43, 1, 0, 1, 0, 1, 24, 0, 24, 3115.000000, 21.000000
27, 1, 170, 23, 1, 1, 1, 1, 1, 7, 0, 6, 959.000000, 11.000000
27, 3, 229, 53, 1, 1, 1, 0, 0, 7, 1, 7, 1308.500000, 14.000000
27, 4, 208, 19, 1, 1, 1, 0, 1, 12, 2, 11, 1814.000000, 17.000000
27, 5, 242, 33, 1, 0, 1, 1, 1, 23, 0, 23, 4396.500000, 26.000000
28, 8, 182, 30, 0, 1, 0, 1, 0, 24, 0, 24, 1976.500000, 17.000000
28, 10, 158, 27, 1, 0, 1, 1, 1, 13, 0, 13, 1405.000000, 14.000000
28, 7, 147, 22, 1, 1, 1, 1, 1, 12, 0, 12, 1180.500000, 11.000000
28, 9, 165, 27, 0, 1, 1, 0, 0, 24, 0, 24, 3065.000000, 21.000000
28, 6, 142, 22, 1, 1, 1, 0, 1, 35, 0, 35, 4303.500000, 26.000000
29, 1, 136, 24, 0, 1, 0, 1, 1, 37, 13, 37, 959.000000, 11.000000
29, 2, 141, 28, 1, 0, 1, 0, 0, 97, 38, 96, 4513.000000, 26.000000
29, 5, 133, 26, 1, 1, 1, 0, 1, 72, 29, 73, 3021.000000, 21.000000
29, 3, 142, 26, 0, 1, 1, 0, 0, 51, 18, 48, 1839.000000, 17.000000
29, 4, 106, 19, 0, 0, 0, 1, 1, 28, 11, 29, 1246.000000, 14.000000
30, 9, 149, 23, 1, 1, 0, 1, 1, 11, 0, 11, 1976.500000, 17.000000
30, 7, 111, 21, 1, 1, 1, 1, 1, 25, 0, 25, 3385.500000, 21.000000
30, 6, 116, 17, 1, 1, 1, 1, 1, 31, 0, 31, 4303.500000, 26.000000
30, 10, 112, 20, 1, 0, 1, 1, 1, 5, 0, 5, 961.500000, 11.000000
30, 8, 113, 23, 1, 1, 1, 1, 1, 8, 0, 8, 1380.000000, 14.000000
31, 4, 169, 24, 1, 0, 1, 0, 1, 68, 3, 68, 4163.500000, 26.000000
31, 3, 201, 28, 0, 1, 0, 1, 1, 36, 7, 36, 901.000000, 11.000000
31, 5, 205, 20, 1, 0, 1, 1, 1, 86, 15, 84, 3021.000000, 21.000000
31, 2, 187, 31, 1, 1, 1, 1, 1, 52, 6, 52, 1966.000000, 17.000000
31, 1, 218, 19, 1, 1, 1, 1, 1, 48, 7, 47, 1358.500000, 14.000000
32, 6, 76, 18, 1, 1, 1, 0, 0, 12, 0, 12, 1384.000000, 14.000000
32, 9, 104, 17, 1, 1, 1, 0, 1, 16, 0, 16, 1976.500000, 17.000000
32, 8, 114, 18, 0, 0, 1, 1, 0, 31, 2, 31, 4412.000000, 26.000000
32, 10, 104, 20, 1, 0, 0, 0, 1, 7, 0, 7, 961.500000, 11.000000
32, 7, 107, 19, 0, 1, 1, 1, 1, 31, 1, 31, 3385.500000, 21.000000
33, 2, 182, 50, 1, 1, 0, 0, 1, 9, 0, 9, 1392.000000, 14.000000
33, 4, 207, 47, 1, 1, 0, 1, 1, 23, 0, 23, 4163.500000, 26.000000
33, 5, 249, 24, 1, 1, 1, 1, 1, 11, 1, 10, 935.000000, 11.000000
33, 1, 237, 22, 1, 1, 1, 1, 1, 42, 1, 42, 3002.000000, 21.000000
33, 3, 231, 43, 1, 1, 1, 0, 1, 30, 0, 29, 1839.000000, 17.000000
34, 6, 82, 21, 1, 1, 1, 1, 1, 7, 0, 7, 978.500000, 11.000000
34, 10, 89, 15, 1, 1, 1, 1, 1, 16, 0, 16, 1931.000000, 17.000000
34, 7, 113, 19, 1, 0, 1, 1, 1, 37, 3, 36, 4848.000000, 26.000000
34, 9, 98, 26, 1, 1, 1, 1, 1, 12, 0, 12, 1400.500000, 14.000000
34, 8, 91, 19, 1, 1, 1, 1, 0, 22, 0, 22, 3002.500000, 21.000000
35, 4, 149, 10, 1, 1, 1, 1, 1, 11, 2, 11, 884.000000, 11.000000
35, 1, 160, 12, 1, 1, 1, 1, 1, 44, 0, 44, 3002.000000, 21.000000
35, 5, 165, 16, 1, 0, 1, 1, 1, 30, 0, 30, 1329.500000, 14.000000
35, 3, 184, 16, 1, 1, 1, 1, 1, 34, 0, 34, 1839.000000, 17.000000
